ID,CSE1,CSE2,CSE3,CSE4,SECTION
28,#%%$40vgfs,ddsfs81dsfy,dsfe33xdff,sada26adsfy,B
29,ddsfs77**^&$,cxscc58adsfy,bffdd55dsffw,#%%$70dsffw,B
30,H%d%28$*%^&,sada53xfsadf,#%%$36dsffw,bffdd61vgfs,A
31,dsfe88dsfy,edf35adsfy,cxscc94vgfs,ddsfs53**&%&,D
32,dsfe62dsfy,cxscc61$*%^&,**$@%69asdgfw,edf74dsfy,D
33,dsfe92**&%&,dsfe78xfsadf,cxscc89**&%&,**$@%53$*%^&,B
34,#%%$81**&%&,cxscc47dsfy,sada30xfsadf,cxscc79xfsadf,A
35,#%%$62dsfy,bffdd36$*%^&,edf92xfsadf,dsfe68vgfs,A
36,edf80**^&$,edf40**&%&,H%d%31$*%^&,ddfs34adsfy,D
37,dsfe65**^&$,dsfe73asdgfw,**$@%66adsfy,H%d%82dsfy,A
38,cxscc87dsfy,**$@%39dsffw,ddsfs80$*%^&,ddsfs47adsfy,A
39,H%d%34dsffw,H%d%68**&%&,cxscc44**&%&,cxscc71$*%^&,A
40,H%d%70**&%&,cxscc32**^&$,ddfs31xfsadf,H%d%86dsffw,B
41,#%%$68xdff,ddsfs84dsfy,#%%$82adsfy,ddfs43xdff,C
42,dsfe74**^&$,ddsfs36dsffw,**$@%82asdgfw,sada90vgfs,A
43,edf47dsfy,ddfs37dsfy,ddfs57xfsadf,sada75xfsadf,C
44,dsfe76xdff,cxscc69xfsadf,dsfe52**^&$,sada89asdgfw,D
45,ddfs60$*%^&,ddsfs72**&%&,**$@%28dsffw,H%d%34xdff,C
46,edf56vgfs,ddsfs83asdgfw,dsfe82$*%^&,#%%$42**^&$,C
47,bffdd31**&%&,H%d%61$*%^&,dsfe71xfsadf,bffdd41xdff,B
48,ddsfs65xdff,edf82dsffw,dsfe83$*%^&,dsfe83vgfs,D
49,H%d%74xdff,edf29**&%&,#%%$29xdff,#%%$48**^&$,B
50,bffdd45**^&$,dsfe47**&%&,bffdd61adsfy,dsfe85vgfs,D
51,**$@%90dsfy,bffdd56**^&$,sada49vgfs,#%%$30adsfy,A
52,#%%$69**&%&,H%d%39**&%&,ddfs52xdff,ddsfs26$*%^&,C
53,dsfe49vgfs,H%d%27dsffw,ddfs56asdgfw,dsfe92**^&$,D
54,sada36**&%&,**$@%40adsfy,cxscc35xfsadf,ddsfs40adsfy,B
55,edf44**&%&,H%d%82asdgfw,dsfe62**&%&,edf59**&%&,A
56,bffdd71**&%&,cxscc90$*%^&,**$@%53$*%^&,**$@%55dsffw,C
57,cxscc88vgfs,H%d%72adsfy,edf80dsffw,H%d%47adsfy,A
58,ddfs77xfsadf,edf72vgfs,ddsfs73dsffw,cxscc67xdff,D
59,#%%$41adsfy,cxscc93adsfy,H%d%58**^&$,#%%$51asdgfw,A
60,cxscc78**^&$,edf47dsffw,bffdd47xdff,sada56dsffw,A
61,sada85dsffw,dsfe44xdff,cxscc64asdgfw,ddsfs89asdgfw,B
62,edf75**^&$,edf53xfsadf,dsfe62**^&$,ddfs31adsfy,A
63,H%d%92dsfy,ddfs27vgfs,ddfs55dsffw,cxscc86dsfy,A
64,sada52xdff,ddfs80dsfy,ddsfs40dsfy,**$@%55adsfy,A
65,**$@%33xdff,dsfe68adsfy,**$@%39dsfy,ddfs40**&%&,C
66,sada42dsffw,ddsfs84adsfy,dsfe79dsffw,dsfe37adsfy,C
67,sada78dsffw,bffdd77asdgfw,ddsfs45xfsadf,edf37adsfy,C
68,bffdd70vgfs,H%d%65**&%&,**$@%38$*%^&,H%d%54**&%&,B
69,dsfe43dsffw,ddfs77**^&$,cxscc76asdgfw,edf84dsffw,A
70,bffdd45xfsadf,**$@%78**^&$,bffdd41**&%&,**$@%93xdff,C
71,**$@%81$*%^&,H%d%29**^&$,edf40vgfs,ddsfs94vgfs,C
72,cxscc88dsffw,ddfs39dsfy,**$@%41$*%^&,**$@%34adsfy,A
73,#%%$62**&%&,#%%$53dsffw,#%%$34$*%^&,ddsfs58vgfs,B
74,#%%$87xfsadf,cxscc26$*%^&,dsfe73dsfy,edf60dsfy,A
75,#%%$40vgfs,ddfs52dsffw,H%d%72$*%^&,bffdd67dsffw,A
76,#%%$55dsffw,**$@%66xdff,ddsfs32$*%^&,cxscc48vgfs,A
77,sada34xdff,edf68xdff,edf87dsffw,edf46$*%^&,C
78,dsfe34dsfy,ddsfs71xfsadf,cxscc61dsffw,ddsfs85xdff,C
79,ddfs55xdff,#%%$72dsffw,dsfe33xdff,bffdd73**&%&,C
80,dsfe44**&%&,**$@%85adsfy,sada43dsfy,bffdd43xfsadf,D
81,edf61$*%^&,edf60**&%&,ddsfs26**^&$,ddsfs69dsffw,D
82,ddsfs33**&%&,**$@%87**&%&,**$@%67**^&$,#%%$82xfsadf,C
83,edf33xfsadf,edf26xfsadf,bffdd29adsfy,edf51adsfy,D
84,H%d%78asdgfw,edf27**&%&,**$@%50dsfy,bffdd30asdgfw,B
85,bffdd67$*%^&,ddsfs40**^&$,dsfe38xdff,cxscc37**^&$,A
86,edf66**&%&,edf58vgfs,#%%$66$*%^&,bffdd56xfsadf,C
87,dsfe61vgfs,dsfe59dsffw,**$@%41xdff,H%d%35$*%^&,C
88,sada58**^&$,ddsfs69$*%^&,cxscc60xdff,H%d%28xfsadf,D
89,edf64**&%&,#%%$71adsfy,bffdd70**&%&,ddsfs93dsfy,B
90,**$@%62adsfy,cxscc60**&%&,edf93dsfy,ddfs81adsfy,D
91,**$@%29dsfy,dsfe67asdgfw,**$@%70adsfy,ddsfs49vgfs,D
92,ddsfs63xdff,H%d%25xfsadf,cxscc30xdff,**$@%57$*%^&,D
93,sada64vgfs,H%d%56xfsadf,ddfs92vgfs,sada26**&%&,D
94,#%%$82xfsadf,**$@%28xfsadf,sada76xdff,edf93**^&$,B
95,cxscc33adsfy,**$@%48**^&$,**$@%92$*%^&,dsfe57asdgfw,D
96,H%d%39vgfs,bffdd45adsfy,sada62adsfy,cxscc89vgfs,B
97,sada47vgfs,#%%$63asdgfw,edf42asdgfw,H%d%65vgfs,A
98,dsfe67xdff,edf85**&%&,ddfs88vgfs,H%d%31dsfy,C
99,dsfe66**&%&,edf58dsfy,sada87dsfy,ddsfs91$*%^&,B
100,ddfs46$*%^&,**$@%43vgfs,**$@%65vgfs,ddfs29xfsadf,A
101,ddsfs72adsfy,ddsfs65**&%&,ddsfs87xdff,**$@%80xdff,A
102,edf40**&%&,H%d%28vgfs,#%%$33dsfy,sada86dsfy,C
103,edf87xdff,ddfs80vgfs,ddsfs32**&%&,sada53$*%^&,B
104,cxscc77asdgfw,dsfe89asdgfw,H%d%67vgfs,cxscc51dsfy,A
105,bffdd30dsfy,cxscc87asdgfw,cxscc44**^&$,cxscc80$*%^&,A
106,ddfs77**^&$,dsfe54dsfy,#%%$48**&%&,H%d%53**^&$,C
107,**$@%87vgfs,ddsfs30xfsadf,#%%$90xfsadf,sada75xdff,A
108,sada30dsfy,H%d%65asdgfw,ddsfs53$*%^&,dsfe29$*%^&,A
109,#%%$48asdgfw,H%d%36$*%^&,dsfe79**^&$,**$@%57dsffw,A
110,#%%$54vgfs,sada32xdff,cxscc35vgfs,edf76xfsadf,D
111,ddfs27asdgfw,#%%$41asdgfw,bffdd89adsfy,ddfs50vgfs,C
112,edf72xfsadf,dsfe49xfsadf,#%%$36dsffw,H%d%80adsfy,C
113,sada43vgfs,dsfe34**^&$,bffdd36adsfy,#%%$80adsfy,C
114,sada73$*%^&,ddsfs37xdff,**$@%70dsffw,edf27adsfy,D
115,sada31**^&$,#%%$80xfsadf,edf80dsffw,ddsfs30**&%&,A
116,**$@%61dsfy,#%%$29adsfy,dsfe91asdgfw,edf65**&%&,B
117,dsfe47xfsadf,#%%$54xfsadf,edf58**&%&,ddsfs39adsfy,C
118,dsfe88asdgfw,**$@%55asdgfw,H%d%40dsffw,**$@%59adsfy,D
119,ddfs68dsffw,H%d%41asdgfw,#%%$46$*%^&,dsfe47dsffw,D
120,cxscc57xfsadf,**$@%26asdgfw,sada61xdff,sada37adsfy,B
121,sada81adsfy,#%%$27vgfs,H%d%79dsffw,**$@%78adsfy,D
122,dsfe54xfsadf,edf34vgfs,bffdd71xfsadf,bffdd83xdff,C
123,sada93dsffw,ddsfs47xdff,edf48vgfs,bffdd81vgfs,C
124,ddsfs77xfsadf,ddfs25asdgfw,ddfs70adsfy,dsfe89asdgfw,C
125,edf26xdff,**$@%66dsfy,bffdd45xfsadf,**$@%87**^&$,C
126,cxscc37**&%&,**$@%35dsfy,cxscc41adsfy,ddfs55adsfy,A
127,edf70dsfy,edf49xfsadf,#%%$63dsffw,ddsfs87asdgfw,A
128,edf38xdff,dsfe65xfsadf,bffdd34adsfy,H%d%71$*%^&,C
129,**$@%64xdff,cxscc91**&%&,edf52xdff,ddfs29xdff,B
130,#%%$50xfsadf,#%%$86dsfy,bffdd46dsfy,edf69asdgfw,B
131,dsfe61dsffw,dsfe87asdgfw,edf33**&%&,ddfs53xdff,D
132,cxscc64**&%&,ddfs30**&%&,cxscc25xdff,edf42dsffw,B
133,ddsfs84**^&$,sada43$*%^&,#%%$66adsfy,dsfe92**&%&,B
134,#%%$53dsfy,ddsfs51xdff,dsfe77**&%&,bffdd60xdff,B
135,dsfe59$*%^&,bffdd71**&%&,**$@%71$*%^&,#%%$84dsffw,B
136,bffdd68dsffw,edf65dsffw,sada93**^&$,sada59$*%^&,D
137,ddsfs26dsfy,cxscc92**&%&,#%%$36adsfy,#%%$30adsfy,C
138,edf43**^&$,**$@%65asdgfw,dsfe60dsfy,dsfe61vgfs,D
139,ddfs78dsffw,cxscc39vgfs,ddfs67dsfy,H%d%80dsfy,D
140,edf60asdgfw,ddfs74dsffw,cxscc38adsfy,**$@%51dsffw,B
141,cxscc49dsffw,sada42dsfy,sada91**&%&,edf55vgfs,C
142,H%d%67adsfy,ddsfs46$*%^&,#%%$55asdgfw,#%%$61vgfs,C
143,dsfe59dsfy,H%d%59adsfy,ddsfs26asdgfw,edf89**^&$,A
144,dsfe69**^&$,ddsfs91xfsadf,H%d%85vgfs,**$@%40**&%&,D
145,ddsfs82$*%^&,cxscc53asdgfw,edf88xdff,**$@%84**&%&,D
146,ddsfs78adsfy,bffdd44**&%&,dsfe40xdff,H%d%28**&%&,B
147,H%d%79**^&$,dsfe65xfsadf,bffdd58dsfy,H%d%52xfsadf,A
148,cxscc74**^&$,ddsfs65asdgfw,cxscc63xfsadf,bffdd86dsfy,D
149,#%%$52dsfy,ddfs44**&%&,ddsfs25xfsadf,H%d%73xdff,B
150,bffdd91**^&$,dsfe94$*%^&,**$@%74dsffw,bffdd70**^&$,A
151,H%d%42asdgfw,edf90**&%&,cxscc69xdff,ddsfs50vgfs,B
152,sada90**&%&,**$@%92$*%^&,dsfe31asdgfw,H%d%35xdff,C
153,ddsfs65xfsadf,cxscc41**&%&,**$@%65adsfy,sada54dsffw,B
154,cxscc84dsfy,sada34**^&$,ddfs77$*%^&,ddfs40vgfs,B
155,ddsfs36**^&$,ddsfs82dsffw,#%%$45dsfy,**$@%40dsffw,B
156,H%d%66**^&$,#%%$51dsfy,cxscc59dsfy,ddsfs29adsfy,C
157,sada44**^&$,H%d%28xfsadf,ddfs78**&%&,sada40**&%&,B
158,ddfs48vgfs,cxscc54vgfs,**$@%48dsfy,dsfe62$*%^&,D
159,cxscc46vgfs,edf48$*%^&,ddfs31asdgfw,**$@%89asdgfw,A
160,**$@%28xdff,dsfe26dsffw,dsfe46xdff,dsfe89xfsadf,D
161,**$@%60vgfs,**$@%36dsfy,#%%$87xdff,sada60dsffw,B
162,sada37asdgfw,cxscc27vgfs,sada77$*%^&,bffdd31adsfy,A
163,edf62$*%^&,#%%$84asdgfw,**$@%47$*%^&,H%d%56xdff,D
164,edf81asdgfw,sada37**&%&,bffdd29**&%&,cxscc42dsffw,A
165,**$@%75asdgfw,bffdd71**^&$,#%%$59**^&$,ddfs77vgfs,D
166,H%d%40dsfy,sada52xfsadf,ddfs65asdgfw,#%%$88vgfs,B
167,bffdd33asdgfw,H%d%57dsfy,**$@%37**^&$,**$@%75asdgfw,A
168,ddfs51**^&$,dsfe77xdff,ddfs37vgfs,ddfs44dsfy,D
169,edf32**&%&,dsfe56xfsadf,dsfe34**&%&,**$@%53dsffw,A
170,ddfs81vgfs,dsfe52xdff,**$@%82dsffw,dsfe73adsfy,B
171,bffdd33**&%&,bffdd72adsfy,bffdd92adsfy,ddsfs62xdff,B
172,ddfs77dsffw,dsfe36xdff,**$@%91dsffw,cxscc34$*%^&,B
173,#%%$27$*%^&,sada35**&%&,#%%$30vgfs,#%%$86dsfy,C
174,sada86dsfy,sada84dsffw,**$@%80**^&$,H%d%47asdgfw,D
175,ddfs34$*%^&,edf53dsffw,ddsfs77**^&$,ddfs86asdgfw,C
176,dsfe40**&%&,edf33dsffw,cxscc71asdgfw,ddsfs55xfsadf,C
177,#%%$57**&%&,sada75asdgfw,bffdd66xdff,ddsfs80dsffw,C
178,edf49**^&$,cxscc53$*%^&,ddsfs42adsfy,dsfe67asdgfw,B
179,dsfe41$*%^&,**$@%45$*%^&,H%d%70asdgfw,ddsfs80**^&$,B
180,H%d%32xfsadf,dsfe73xfsadf,#%%$31dsffw,sada62xfsadf,D
181,ddsfs50xfsadf,H%d%61dsfy,bffdd28$*%^&,ddfs72adsfy,D
182,#%%$63xdff,cxscc39**&%&,H%d%85vgfs,sada94dsffw,A
183,sada30$*%^&,#%%$48**&%&,ddsfs49$*%^&,**$@%49xdff,A
184,edf78$*%^&,ddsfs64dsfy,edf40**^&$,ddsfs71$*%^&,C
185,**$@%76asdgfw,dsfe81**^&$,#%%$82adsfy,H%d%88dsffw,B
186,ddfs28dsfy,edf89$*%^&,H%d%76**&%&,edf36**^&$,C
187,edf50adsfy,**$@%91**&%&,bffdd31xdff,sada30dsffw,B
188,#%%$67dsfy,dsfe62dsfy,H%d%26adsfy,edf40xdff,D
189,sada39adsfy,H%d%30xfsadf,**$@%37**&%&,bffdd79dsffw,A
190,sada58dsfy,bffdd45**^&$,edf63xdff,H%d%46vgfs,A
191,dsfe71vgfs,#%%$66dsffw,edf52xdff,bffdd28$*%^&,B
192,ddsfs77adsfy,bffdd68adsfy,cxscc35xfsadf,H%d%29**^&$,C
193,**$@%89dsffw,H%d%67xdff,ddfs39xdff,ddfs54**^&$,C
194,ddfs37adsfy,ddfs55**^&$,sada77vgfs,edf69**^&$,B
195,**$@%52dsffw,H%d%32$*%^&,ddfs63dsfy,ddfs34dsfy,B
196,#%%$50$*%^&,H%d%69xfsadf,**$@%72xfsadf,ddsfs65adsfy,A
197,bffdd71**&%&,sada28asdgfw,H%d%45adsfy,bffdd90asdgfw,C
198,H%d%71adsfy,H%d%67adsfy,bffdd85dsffw,edf40asdgfw,B
199,ddfs26vgfs,ddfs68adsfy,bffdd67xdff,sada37asdgfw,C
200,sada32adsfy,sada56asdgfw,ddfs60adsfy,dsfe53dsffw,C
201,H%d%62xfsadf,edf72xdff,bffdd81xfsadf,bffdd76xdff,D
202,ddfs52adsfy,bffdd59xdff,edf81vgfs,ddsfs27dsffw,D
203,ddsfs66vgfs,#%%$93vgfs,**$@%40adsfy,bffdd35adsfy,A
204,ddsfs42asdgfw,dsfe88xdff,dsfe45adsfy,sada34xfsadf,B
205,cxscc76$*%^&,bffdd73dsfy,**$@%32adsfy,edf50asdgfw,D
206,cxscc41$*%^&,cxscc41$*%^&,sada61**&%&,dsfe25dsfy,C
207,ddfs80asdgfw,**$@%91vgfs,**$@%46xdff,ddsfs28xfsadf,A
208,sada76xfsadf,bffdd94dsfy,dsfe69vgfs,sada77**&%&,A
209,ddfs56dsfy,cxscc75xfsadf,bffdd42xfsadf,ddfs81dsfy,A
210,H%d%32xfsadf,dsfe73xfsadf,#%%$84$*%^&,cxscc48**&%&,A
211,edf69dsffw,H%d%66vgfs,dsfe84adsfy,sada37dsfy,D
212,#%%$88xdff,dsfe94**^&$,edf67vgfs,ddsfs50xfsadf,C
213,sada31$*%^&,ddsfs52$*%^&,sada53xfsadf,edf31**&%&,C
214,H%d%37dsffw,dsfe53xfsadf,dsfe27asdgfw,bffdd52xfsadf,C
215,ddsfs75asdgfw,**$@%53asdgfw,sada80dsffw,ddfs79adsfy,B
216,ddfs88**^&$,**$@%75$*%^&,dsfe49$*%^&,ddfs71**^&$,C
217,sada77xdff,ddfs78vgfs,ddfs78dsfy,**$@%46vgfs,D
218,**$@%30**^&$,H%d%47dsffw,ddsfs82xfsadf,ddfs57vgfs,A
219,edf38**&%&,bffdd34dsffw,H%d%85dsfy,cxscc47vgfs,B
220,dsfe46**^&$,edf68xfsadf,cxscc59dsffw,ddsfs28**^&$,B
221,#%%$84**&%&,#%%$89**&%&,edf66**^&$,bffdd72$*%^&,A
222,#%%$52xfsadf,edf65asdgfw,bffdd41**^&$,edf25dsfy,A
223,**$@%71xdff,bffdd40xfsadf,**$@%37asdgfw,**$@%38xfsadf,C
224,sada67vgfs,ddfs77vgfs,bffdd53adsfy,cxscc34$*%^&,D
225,ddfs31$*%^&,bffdd32dsffw,ddfs75adsfy,edf25dsfy,B
226,#%%$30**^&$,#%%$31**^&$,edf66dsffw,edf35xfsadf,B
227,H%d%84vgfs,ddsfs84**&%&,**$@%75vgfs,**$@%64dsffw,A
228,edf68$*%^&,sada66$*%^&,**$@%26**&%&,ddsfs76xdff,C
229,edf40dsfy,**$@%84xdff,sada48asdgfw,sada73**^&$,A
230,ddfs85**&%&,ddfs47xdff,#%%$40xdff,**$@%88dsffw,D
231,cxscc33$*%^&,dsfe70asdgfw,cxscc57adsfy,sada91**&%&,C
232,sada35dsffw,#%%$92dsffw,ddsfs52asdgfw,cxscc46xfsadf,B
233,dsfe66dsffw,ddfs53**^&$,H%d%47vgfs,edf82vgfs,A
234,**$@%40$*%^&,ddfs59$*%^&,ddsfs68dsfy,bffdd83dsfy,D
235,bffdd41xdff,sada80vgfs,sada53dsfy,ddsfs26vgfs,D
236,ddfs27xfsadf,dsfe87dsfy,cxscc54adsfy,#%%$90**&%&,B
237,edf58xfsadf,H%d%92asdgfw,**$@%53dsfy,bffdd86xfsadf,D
238,ddsfs25dsffw,dsfe87adsfy,dsfe34xdff,ddsfs63**&%&,C
239,edf59vgfs,sada71$*%^&,edf39dsffw,ddfs40adsfy,D
240,ddsfs58dsfy,**$@%76xfsadf,#%%$60dsffw,#%%$33adsfy,B
241,edf55vgfs,edf45xdff,dsfe49dsffw,sada79xdff,B
242,cxscc50**^&$,ddfs67$*%^&,sada93$*%^&,**$@%44adsfy,B
243,ddsfs47$*%^&,H%d%86**&%&,**$@%67vgfs,dsfe60$*%^&,D
244,sada38asdgfw,ddsfs27**^&$,H%d%48asdgfw,cxscc37**&%&,B
245,ddsfs77dsfy,dsfe77dsfy,H%d%61xdff,bffdd84$*%^&,D
246,cxscc57vgfs,ddfs53**&%&,cxscc60dsffw,cxscc45**^&$,D
247,edf72dsffw,edf50asdgfw,ddfs77xdff,**$@%34dsffw,C
248,**$@%79xdff,#%%$65xfsadf,bffdd49dsffw,cxscc42**^&$,C
249,ddfs87**^&$,H%d%26dsfy,edf93asdgfw,H%d%73vgfs,B
250,ddfs55vgfs,ddfs73vgfs,edf77dsfy,ddfs91$*%^&,B
251,#%%$90$*%^&,H%d%26dsffw,ddsfs72**^&$,dsfe45**^&$,C
252,ddsfs80xdff,ddsfs93$*%^&,bffdd92**&%&,ddsfs30vgfs,A
253,ddsfs64xfsadf,H%d%68$*%^&,cxscc72dsffw,dsfe79vgfs,B
254,ddsfs44dsfy,edf43adsfy,ddsfs58dsffw,dsfe50dsffw,A
255,ddfs65dsfy,cxscc35adsfy,H%d%28dsfy,sada93**^&$,B
256,ddsfs71dsfy,**$@%55**^&$,edf51**&%&,dsfe66dsffw,D
257,edf74xdff,edf62xdff,H%d%35xfsadf,#%%$92**^&$,D
258,**$@%51$*%^&,ddfs78xfsadf,edf86dsffw,**$@%25xfsadf,C
259,dsfe39xfsadf,ddsfs86vgfs,ddfs56asdgfw,dsfe93dsffw,B
260,H%d%83asdgfw,ddsfs25xdff,H%d%90$*%^&,ddfs47xfsadf,C
261,edf37adsfy,**$@%91dsfy,bffdd85asdgfw,sada69adsfy,D
262,#%%$27dsffw,cxscc29dsfy,ddfs43xdff,ddsfs37xdff,C
263,bffdd32dsfy,sada45**^&$,#%%$28dsfy,cxscc51**&%&,C
264,H%d%49**&%&,#%%$91**&%&,ddfs70xdff,bffdd78dsffw,D
265,dsfe46dsffw,ddsfs67**^&$,dsfe83asdgfw,**$@%71**^&$,C
266,sada54$*%^&,cxscc63**&%&,#%%$45**&%&,ddfs46vgfs,C
267,cxscc86**^&$,#%%$32xdff,bffdd74vgfs,ddsfs73vgfs,B
268,ddfs51dsffw,edf52xdff,ddsfs81**^&$,#%%$90dsffw,D
269,**$@%65**^&$,**$@%52dsffw,**$@%80asdgfw,cxscc84vgfs,D
270,H%d%74**^&$,edf53xfsadf,cxscc65$*%^&,sada47vgfs,B
271,edf57dsffw,dsfe40**^&$,ddfs36xdff,**$@%86**&%&,A
272,bffdd60**^&$,bffdd94xfsadf,edf48**^&$,H%d%33dsffw,C
273,ddsfs42asdgfw,H%d%26xdff,H%d%86dsffw,**$@%63adsfy,D
274,ddfs26vgfs,cxscc27**&%&,ddsfs69xfsadf,cxscc49dsfy,A
275,bffdd86asdgfw,sada62vgfs,cxscc41**^&$,#%%$43**^&$,C
276,sada82adsfy,bffdd33$*%^&,sada43xdff,H%d%56**&%&,D
277,H%d%75vgfs,H%d%94**&%&,**$@%56$*%^&,dsfe35**&%&,D
278,edf50xdff,ddfs45dsfy,#%%$57dsfy,#%%$72xfsadf,C
279,#%%$75$*%^&,cxscc69vgfs,H%d%48dsffw,edf29vgfs,C
280,**$@%66**&%&,cxscc40xfsadf,#%%$28**^&$,**$@%26asdgfw,A
281,bffdd53asdgfw,dsfe60adsfy,sada67dsfy,H%d%78asdgfw,C
282,ddfs42dsffw,edf35**^&$,H%d%37xdff,**$@%49vgfs,C
283,dsfe64xdff,#%%$35asdgfw,**$@%47**&%&,edf52dsffw,B
284,**$@%37xdff,#%%$73vgfs,bffdd80**^&$,dsfe60adsfy,C
285,cxscc70**&%&,bffdd92xfsadf,#%%$27xfsadf,bffdd94**&%&,C
286,edf25$*%^&,ddsfs48asdgfw,sada25**&%&,bffdd28dsfy,B
287,bffdd50xdff,bffdd71adsfy,dsfe83**&%&,bffdd87**^&$,B
288,dsfe27**^&$,#%%$74**^&$,sada73xdff,**$@%62asdgfw,D
289,ddfs54**&%&,cxscc43xdff,dsfe82vgfs,bffdd28vgfs,D
290,cxscc47vgfs,ddsfs72xfsadf,ddsfs84xdff,#%%$83$*%^&,D
291,H%d%36xdff,bffdd34dsffw,cxscc89**&%&,**$@%44**&%&,B
292,cxscc38xdff,edf94asdgfw,bffdd44adsfy,cxscc43dsfy,B
293,H%d%80**^&$,edf34$*%^&,cxscc90asdgfw,dsfe88$*%^&,C
294,ddfs45adsfy,#%%$54vgfs,sada37dsfy,bffdd72asdgfw,C
295,H%d%92**^&$,ddfs37**&%&,H%d%45adsfy,**$@%62dsfy,D
296,#%%$38dsfy,ddfs84asdgfw,ddsfs93xfsadf,**$@%63**^&$,A
297,sada72xfsadf,ddfs85xdff,ddfs30dsffw,**$@%37dsfy,D
298,ddsfs27**^&$,cxscc49dsffw,cxscc76$*%^&,sada38xfsadf,A
299,**$@%27xdff,ddsfs50adsfy,ddsfs50asdgfw,#%%$38**^&$,C
300,ddsfs26dsfy,**$@%80vgfs,ddfs91$*%^&,H%d%32xfsadf,C
301,dsfe82vgfs,#%%$76**^&$,ddsfs56vgfs,ddfs26**^&$,D
302,cxscc62dsffw,H%d%27$*%^&,**$@%33xdff,bffdd47xdff,C
303,#%%$49dsffw,edf40vgfs,#%%$64adsfy,**$@%51vgfs,B
304,**$@%46**&%&,ddsfs61$*%^&,ddsfs88xdff,**$@%62asdgfw,D
305,bffdd86asdgfw,edf66**&%&,sada30asdgfw,sada77dsffw,B
306,sada29$*%^&,ddsfs38$*%^&,ddsfs73xdff,ddsfs72dsffw,D
307,ddfs38dsfy,H%d%52xfsadf,**$@%26**&%&,**$@%61$*%^&,C
308,bffdd46dsfy,dsfe93**&%&,dsfe72dsfy,ddfs39asdgfw,C
309,**$@%27$*%^&,H%d%46$*%^&,dsfe44dsfy,cxscc39**&%&,D
310,**$@%36$*%^&,cxscc91xfsadf,#%%$93dsffw,bffdd86asdgfw,B
311,bffdd31xdff,cxscc58$*%^&,cxscc85**&%&,sada88xfsadf,D
312,ddsfs47adsfy,dsfe87asdgfw,sada44xdff,H%d%57**&%&,C
313,cxscc94adsfy,bffdd81dsfy,ddfs85**^&$,edf76asdgfw,A
314,ddsfs57$*%^&,dsfe85**&%&,#%%$61dsfy,edf85dsffw,A
315,ddfs59vgfs,cxscc76asdgfw,#%%$47dsffw,#%%$59asdgfw,B
316,H%d%66vgfs,sada46**^&$,edf36$*%^&,**$@%41vgfs,C
317,edf68asdgfw,cxscc78asdgfw,#%%$73**^&$,H%d%25xdff,C
318,#%%$76**&%&,ddsfs42dsfy,bffdd71$*%^&,H%d%75xfsadf,B
319,bffdd32xdff,edf65dsffw,ddsfs89$*%^&,sada29dsffw,A
320,sada75asdgfw,edf52**&%&,dsfe93dsffw,H%d%36xfsadf,C
